task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	bd/061901	79597	EnvCheck (EnvCheck)	COMPLETED	0	2021-04-17 18:28:29.759	34.2s	4.2s	63.6%	40.8 MB	279.8 MB	26.6 MB	9.7 KB
1	48/6c1f81	79598	UntarBenchmarking (UntarBench)	COMPLETED	0	2021-04-17 18:28:29.820	2m 4s	1m 30s	81.5%	3.5 MB	246.6 MB	18.1 GB	18.5 GB
14	12/4f799c	79607	Basecall (MB800K)	COMPLETED	0	2021-04-17 18:30:34.696	1m 59s	1m 39s	45.1%	910.7 MB	12.8 GB	496.5 MB	347.3 MB
3	db/712e4e	79600	Basecall (MB1600K)	COMPLETED	0	2021-04-17 18:30:34.374	2m 45s	2m 28s	53.2%	984.4 MB	12.9 GB	885.4 MB	710.6 MB
22	b5/e40fd7	79617	Megalodon (MB800K)	COMPLETED	0	2021-04-17 18:30:35.188	2m 49s	2m 29s	261.5%	269.3 GB	326 GB	4.1 GB	867.1 MB
4	f5/0eb645	79599	Basecall (MB2400K)	COMPLETED	0	2021-04-17 18:30:34.319	3m 20s	2m 59s	62.7%	1 GB	12.9 GB	1.2 GB	1000.8 MB
5	0b/214180	79610	Megalodon (MB1600K)	COMPLETED	0	2021-04-17 18:30:34.876	3m 24s	3m 7s	332.0%	274.7 GB	330.3 GB	4.9 GB	1.7 GB
6	e4/ccb41d	79609	Megalodon (MB2400K)	COMPLETED	0	2021-04-17 18:30:34.834	3m 44s	3m 23s	367.8%	277.5 GB	334.5 GB	5.6 GB	2.5 GB
8	18/8dd041	79602	Basecall (MB3200K)	COMPLETED	0	2021-04-17 18:30:34.468	3m 50s	3m 28s	68.7%	1.1 GB	12.9 GB	1.5 GB	1.3 GB
7	fd/bc258c	79601	Basecall (MB4000K)	COMPLETED	0	2021-04-17 18:30:34.423	4m 10s	3m 51s	73.9%	1.2 GB	14.6 GB	1.8 GB	1.6 GB
15	b2/b69ceb	79611	Megalodon (MB3200K)	COMPLETED	0	2021-04-17 18:30:34.912	4m 10s	3m 48s	390.8%	278.9 GB	336.1 GB	6.4 GB	3.3 GB
16	78/d243cb	79612	Megalodon (MB4000K)	COMPLETED	0	2021-04-17 18:30:34.979	4m 19s	4m	454.3%	279.2 GB	335.5 GB	7.1 GB	4.1 GB
10	0c/37a680	79604	Basecall (MB4800K)	COMPLETED	0	2021-04-17 18:30:34.570	4m 44s	4m 24s	85.0%	1.2 GB	13.1 GB	2.3 GB	2 GB
9	4a/002289	79603	Basecall (MB5600K)	COMPLETED	0	2021-04-17 18:30:34.515	5m 9s	4m 49s	89.1%	1.3 GB	13.1 GB	2.6 GB	2.4 GB
12	c9/f4b287	79606	Basecall (MB6400K)	COMPLETED	0	2021-04-17 18:30:34.654	5m 24s	5m 7s	90.3%	1.3 GB	14.7 GB	2.9 GB	2.5 GB
11	5b/8d040b	79605	Basecall (MB7200K)	COMPLETED	0	2021-04-17 18:30:34.610	5m 49s	5m 29s	93.4%	1.3 GB	13.2 GB	3.2 GB	2.9 GB
13	c4/bf52d5	79608	Basecall (MB8000K)	COMPLETED	0	2021-04-17 18:30:34.742	6m 9s	5m 48s	100.0%	1.4 GB	14.8 GB	3.6 GB	3.2 GB
17	75/dddfda	79613	Megalodon (MB4800K)	COMPLETED	0	2021-04-17 18:30:35.025	6m 13s	5m 53s	433.4%	278.9 GB	337.8 GB	8.1 GB	5.1 GB
25	76/88fe82	79621	Nanopolish (MB800K)	COMPLETED	0	2021-04-17 18:32:34.418	4m 25s	4m 3s	150.8%	11.3 GB	14.1 GB	3.4 GB	108.2 MB
19	13/e15755	79614	Megalodon (MB6400K)	COMPLETED	0	2021-04-17 18:30:35.061	6m 54s	6m 37s	406.5%	281.3 GB	337.3 GB	9.4 GB	6.5 GB
18	48/ceb0e4	79615	Megalodon (MB5600K)	COMPLETED	0	2021-04-17 18:30:35.108	6m 59s	6m 41s	413.2%	281.9 GB	337.9 GB	8.9 GB	5.9 GB
21	0b/721bba	79618	Megalodon (MB8000K)	COMPLETED	0	2021-04-17 18:30:35.224	7m 29s	7m 12s	409.1%	282.1 GB	337 GB	11 GB	8.2 GB
23	50/b33707	79619	Resquiggle (MB800K)	COMPLETED	0	2021-04-17 18:32:34.346	5m 40s	5m 20s	589.3%	198.1 GB	212.8 GB	4.7 GB	1.7 GB
20	b9/aff932	79616	Megalodon (MB7200K)	COMPLETED	0	2021-04-17 18:30:35.148	7m 49s	7m 29s	401.4%	280 GB	335.4 GB	10.2 GB	7.4 GB
26	97/cf958b	79623	Nanopolish (MB1600K)	COMPLETED	0	2021-04-17 18:33:19.552	7m 5s	6m 27s	136.1%	11.3 GB	14.1 GB	3.8 GB	221.2 MB
27	1c/dc2831	79622	Resquiggle (MB1600K)	COMPLETED	0	2021-04-17 18:33:19.512	8m 55s	8m 22s	670.8%	201.9 GB	217.4 GB	6.5 GB	3.4 GB
29	f7/d92d41	79626	Nanopolish (MB2400K)	COMPLETED	0	2021-04-17 18:33:54.853	11m 5s	10m 33s	138.9%	11.3 GB	14.1 GB	4.1 GB	310.1 MB
33	fa/6da8b5	79629	Nanopolish (MB3200K)	COMPLETED	0	2021-04-17 18:34:25.162	12m 9s	11m 39s	114.7%	11.3 GB	14.1 GB	4.6 GB	415.7 MB
