task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	3e/c9631a	177657	Untar (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:03:34.639	7.7s	311ms	66.1%	0	0	14.5 MB	14.5 MB
2	94/d0e364	177658	Untar (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:03:35.360	7.1s	735ms	68.4%	3.1 MB	40.4 MB	50.9 MB	51.1 MB
1	a8/145382	177656	EnvCheck (EnvCheck)	COMPLETED	0	2021-08-18 15:03:33.265	1m 24s	1m 17s	116.1%	25.4 MB	139.1 MB	16 GB	22.1 GB
6	1f/62bcaa	177662	Basecall (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:04:57.918	1m 34s	1m 29s	179.8%	11.3 GB	25.1 GB	3.1 GB	17.9 MB
7	e4/a6c42f	177660	Basecall (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:04:57.800	2m	1m 57s	150.2%	11.3 GB	29.9 GB	3.1 GB	61.2 MB
16	17/87d46b	177671	QCExport	COMPLETED	0	2021-08-18 15:06:57.849	24.5s	19.2s	101.8%	1.9 GB	1.9 GB	19 MB	11.6 MB
8	90/7cb1bb	177659	Guppy (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:04:57.749	2m 35s	2m 34s	188.8%	12.4 GB	25.3 GB	6 GB	38.4 MB
4	39/072bdb	177664	Megalodon (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:04:58.038	2m 39s	2m 30s	221.7%	167.1 GB	221.9 GB	3.7 GB	678.7 MB
10	89/00a957	177665	Nanopolish (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:06:32.627	1m 15s	1m 9s	231.3%	11.3 GB	14.1 GB	2.9 GB	5.5 MB
5	d4/2f7794	177663	Megalodon (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:04:57.980	3m 4s	3m	237.4%	215.8 GB	276.3 GB	3.7 GB	738.4 MB
17	71/7a6fe9	177672	MgldnComb	COMPLETED	0	2021-08-18 15:08:02.457	4.9s	22ms	44.4%	0	0	486.2 KB	427.9 KB
15	bd/86ab7c	177669	Nanopolish (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:06:57.732	1m 20s	1m 15s	251.0%	11.3 GB	14 GB	3 GB	17.8 MB
18	4c/70dbe9	177673	NplshComb	COMPLETED	0	2021-08-18 15:08:17.450	4.9s	20ms	74.4%	0	0	364.4 KB	306.2 KB
12	9f/45b9d8	177666	Resquiggle (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:06:32.688	1m 55s	1m 49s	199.5%	250.5 GB	265.8 GB	3 GB	70.8 MB
9	f0/8b1891	177661	Guppy (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:04:57.862	3m 34s	3m 27s	190.9%	12.4 GB	27.8 GB	6.1 GB	129.3 MB
13	3f/336996	177668	Resquiggle (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:06:57.675	1m 40s	1m 36s	290.2%	289.9 GB	312.8 GB	3.2 GB	249.6 MB
20	14/07244b	177675	Tombo (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:08:27.609	49.7s	45.4s	156.1%	4.5 GB	289.2 GB	277.4 MB	68.3 MB
19	04/5910ab	177674	DeepSignal (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:08:27.540	4m 5s	4m	687.4%	111.8 GB	160.1 GB	17.8 GB	983.3 MB
23	b4/cd7309	177678	Tombo (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:08:37.498	4m 50s	4m 48s	190.9%	12.5 GB	539.8 GB	1.1 GB	397.5 MB
11	ab/3326b3	177667	DeepMod (demo2.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:06:32.747	7m	6m 58s	370.8%	12 GB	43.9 GB	8.1 GB	2.5 GB
24	67/f0ba5b	177679	TomboComb	COMPLETED	0	2021-08-18 15:13:27.500	4.9s	23ms	43.0%	0	0	357.5 KB	298.8 KB
22	78/76a38d	177677	DeepSignal (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:08:37.441	5m 25s	5m 23s	695.0%	109.9 GB	145.3 GB	17.9 GB	985.8 MB
25	aa/de3cba	177680	DpSigComb	COMPLETED	0	2021-08-18 15:14:02.474	4.9s	29ms	67.8%	0	0	539.8 KB	481.3 KB
21	06/911c00	177676	GuppyComb (1)	COMPLETED	0	2021-08-18 15:08:32.550	9m 15s	9m 12s	736.2%	9.7 GB	16.4 GB	4.5 GB	1.5 GB
14	21/92aae7	177670	DeepMod (demo.fast5.reads.tar)	COMPLETED	0	2021-08-18 15:06:57.788	11m	10m 58s	444.1%	12.2 GB	57.1 GB	9.1 GB	3 GB
26	ae/17edb3	177681	DpmodComb (1)	COMPLETED	0	2021-08-18 15:17:57.618	2m 45s	2m 39s	112.9%	1 GB	2.7 GB	23.6 GB	39 GB
27	cf/706926	177682	METEORE (1)	COMPLETED	0	2021-08-18 15:20:42.583	29.8s	28.5s	63.7%	193.2 MB	1 GB	1.1 GB	1.1 GB
29	a5/732325	177683	SiteLevelUnify (1)	COMPLETED	0	2021-08-18 15:21:12.670	49.7s	46s	103.2%	908.7 MB	4.8 GB	116.8 MB	527 KB
28	77/f19512	177684	ReadLevelPerf (1)	COMPLETED	0	2021-08-18 15:21:12.769	39m 40s	39m 34s	142.7%	124.5 GB	159.2 GB	82.9 GB	20.5 GB
30	37/3cdaa5	177685	SiteLevelCorr (1)	COMPLETED	0	2021-08-18 16:00:52.740	3m 20s	3m 16s	99.9%	945.8 MB	1.2 GB	527.2 MB	18.1 MB
