task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	e6/448ac3	177836	Untar (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 14:59:03.373	4.1s	2s	101.4%	3.1 MB	40.4 MB	237.4 MB	263.3 MB
1	a8/145382	177837	EnvCheck (EnvCheck)	COMPLETED	0	2021-08-19 14:59:03.488	1m 19s	1m 17s	115.4%	45.4 MB	345.7 MB	16 GB	22.1 GB
5	47/4d1744	177839	Guppy (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:00:22.943	19.5s	14.7s	120.1%	542.3 MB	22.5 GB	283.2 MB	182.6 MB
3	c9/d99d9f	177840	Megalodon (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:00:23.002	19.6s	15.5s	78.0%	3.5 GB	44.6 GB	473.4 MB	690.8 MB
4	d1/877c1b	177838	Basecall (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:00:22.886	24.6s	19s	110.8%	538.8 MB	29.9 GB	283.7 MB	150.4 MB
7	a5/db8dc2	177841	MgldnComb	COMPLETED	0	2021-08-19 15:00:42.788	4.7s	19ms	81.7%	0	0	309.2 KB	252.6 KB
6	a4/ad93ab	177842	GuppyComb (1)	COMPLETED	0	2021-08-19 15:00:42.872	9.6s	6.6s	101.0%	60.9 MB	364.1 MB	40.4 MB	27.9 MB
10	5d/28286d	177843	QCExport	COMPLETED	0	2021-08-19 15:00:47.770	4.8s	661ms	149.8%	32.5 MB	99.4 MB	6.2 MB	3.1 MB
9	9a/1e322d	177844	Nanopolish (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:00:47.855	9.6s	5.1s	333.0%	232.4 MB	415.8 MB	26 MB	5.6 MB
12	b0/538e6f	177847	NplshComb	COMPLETED	0	2021-08-19 15:00:57.593	4.9s	19ms	88.2%	0	0	182.9 KB	131.7 KB
8	92/4494ca	177845	Resquiggle (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:00:47.915	29.6s	22.4s	282.5%	8.7 GB	13.8 GB	241.4 MB	214.8 MB
13	67/c7af4b	177848	Tombo (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:01:17.706	9.8s	4.7s	168.1%	404.2 MB	3.3 GB	59.2 MB	4.2 MB
15	86/6f1331	177850	TomboComb	COMPLETED	0	2021-08-19 15:01:27.599	4.9s	21ms	94.1%	0	0	494 KB	440.7 KB
11	8a/26ccf8	177846	DeepMod (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:00:47.981	4m 15s	4m 11s	330.9%	9.3 GB	42.8 GB	418.9 MB	109.2 MB
16	a5/fa9840	177851	DpmodComb (1)	COMPLETED	0	2021-08-19 15:05:02.784	2m 20s	2m 15s	121.7%	24.6 MB	410.7 MB	22.6 GB	38.9 GB
14	96/496d59	177849	DeepSignal (ecoli_meteore.tar)	COMPLETED	0	2021-08-19 15:01:17.762	8m 20s	8m 15s	353.6%	2.5 GB	5.7 GB	1.3 GB	1.1 GB
17	4e/1bd70c	177852	DpSigComb	COMPLETED	0	2021-08-19 15:09:37.675	4.8s	23ms	77.4%	0	0	654.7 KB	601.4 KB
18	17/25a230	177853	METEORE (1)	COMPLETED	0	2021-08-19 15:09:42.773	34.7s	32s	69.1%	321.8 MB	650.3 MB	1.1 GB	1.1 GB
20	64/d1f30b	177854	SiteLevelUnify (1)	COMPLETED	0	2021-08-19 15:10:17.807	9.7s	3.6s	101.2%	109.4 MB	615.7 MB	22.8 MB	106 KB
