,Dataset,Tool,Location,Accuracy,AP,ROC_AUC,F1_5mC,F1_5C,Precision_5mC,Precision_5C,Recall_5mC,Recall_5C,Corr_Mix,Corr_All,Corr_mixedSupport,Corr_allSupport,mCsites_called,Csites_called,mCsites,Csites,referenceCpGs,prefix,coord
0,K562,Nanopolish,Genome-wide,0.9559578037120936,0.7829169125740266,0.9456189636488328,0.8766992504160772,0.9731908841587994,0.8291516967420924,0.9854782274410686,0.9300317525973868,0.9612061747002788,0.8928473952204599,0.8983977540808852,6925,8749,368795,1584173,268441,1324977,1593418,K562_WGBS.Nanopolish,x.x.Genome-wide
1,K562,Nanopolish,Singletons,0.952148834359222,0.7334965753744113,0.9424064497210264,0.8471973728909524,0.9716327144973772,0.7787979097703662,0.9877375554780516,0.9287682796633314,0.9560446197787212,0.9175806306542528,0.9185154723398804,4818,5840,240165,1169832,166353,999179,1165532,K562_WGBS.Nanopolish,x.x.Singletons
2,K562,Nanopolish,Non-singletons,0.9658490048271454,0.8763677746329404,0.9541233576851798,0.9275768736549797,0.9776564787535924,0.9231672238202596,0.9790993408810618,0.932028852417842,0.9762178629525176,0.8304299381248539,0.8581345420780453,2107,2909,128630,414341,102088,325798,427886,K562_WGBS.Nanopolish,x.x.Non-singletons
3,K562,Nanopolish,CpG Island,0.9738196809859232,0.80751745900349,0.9506045074149216,0.8929424669060748,0.9850863110126864,0.8672835001897201,0.9891630585564756,0.9201659853833768,0.9810430294464664,0.6478649878326472,0.7551877965410444,835,1366,34261,237890,25665,185801,211466,K562_WGBS.Nanopolish,ONT.hg38.cpgIslandExt.bed
6,K562,Nanopolish,Exons,0.9646671750909374,0.8780899425469068,0.9540049007071127,0.9282651166938236,0.9765612377065028,0.9234814026258912,0.9782169181051638,0.9330986489349564,0.9749111524792691,0.9114606561794788,0.9415043849832192,637,1104,61998,188449,49299,149225,198524,K562_WGBS.Nanopolish,ONT.hg38.exonFeature.bed
8,K562,Nanopolish,Intergenic,0.9546878585170412,0.5087755049000288,0.9329769418892548,0.6886326194398682,0.9755660372120838,0.5544217687074829,0.9944570029655356,0.9085744765968796,0.9573794071816298,0.8068852297404958,0.7898573932103576,3639,4204,61446,618438,30607,525245,555852,K562_WGBS.Nanopolish,ONT.hg38.intergenic.bed
9,K562,Nanopolish,Introns,0.9538733329905036,0.8357202806934421,0.9468905242221036,0.9051624826261544,0.9695256821596951,0.8783375939399639,0.9791345595740848,0.9336774803349979,0.9601035681092092,0.8827699313203521,0.9012920786370237,2373,3048,233926,699482,180426,587731,768157,K562_WGBS.Nanopolish,ONT.hg38.intronFeature.bed
14,K562,Nanopolish,Promoters,0.9721807287837304,0.8034550241420727,0.9517908367767796,0.8905955620682436,0.9840643068678608,0.8588407479371167,0.9893927665412297,0.9247887400483656,0.9787929335051936,0.8923672583291982,0.9232263087457729,347,813,39629,260954,29630,206501,236131,K562_WGBS.Nanopolish,ONT.hg38.promoterFeature500.bed
17,K562,Nanopolish,Discordant,0.6147186147186147,0.6837647810802173,0.5779587493861515,0.7023411371237458,0.4539877300613497,0.7,0.4567901234567901,0.7046979865771812,0.451219512195122,0.0,0.0,0,0,150,81,125,68,193,K562_WGBS.Nanopolish,K562_WGBS.hg38_nonsingletons.discordant.bed
18,K562,Nanopolish,Concordant,0.98039651803782,0.8017704292417661,0.9642182850178396,0.8913595166163142,0.9892262299954221,0.8437042459736457,0.9947984959506364,0.9447205287156104,0.9837160413200684,0.0,0.8381986744715665,0,307,21856,207440,15810,166083,181893,K562_WGBS.Nanopolish,K562_WGBS.hg38_nonsingletons.concordant.bed
19,K562,Megalodon,Genome-wide,0.958690394349396,0.7959323434102857,0.9524523469317422,0.8850726262696358,0.9748197994300908,0.8338200177546147,0.9881271684302512,0.9430385986395264,0.961866095223958,0.8666920305531193,0.8879620047205643,9932,12982,435943,1849264,268441,1324977,1593418,K562_WGBS.Megalodon,x.x.Genome-wide
20,K562,Megalodon,Singletons,0.9600755269913692,0.7703492975439672,0.9520466071984526,0.8704302239267598,0.9764021478453248,0.8098429176243763,0.9898898036424688,0.9408161133281796,0.9632771010687255,0.8783530922880545,0.8954369991907116,7145,9043,278007,1400863,166353,999179,1165532,K562_WGBS.Megalodon,x.x.Singletons
21,K562,Megalodon,Non-singletons,0.9548551383141718,0.8421666185640105,0.9520649386751546,0.9099824062350989,0.9698730669202468,0.8760257319420525,0.9826204669481112,0.9466777056291866,0.9574521717211226,0.8286022934190787,0.8690777427628459,2787,3939,157936,448401,102088,325798,427886,K562_WGBS.Megalodon,x.x.Non-singletons
22,K562,Megalodon,CpG Island,0.9598569695928194,0.7372404567718964,0.9481510013464508,0.8504929412778318,0.9768160033897076,0.7816388398714991,0.9903440909319596,0.9326494803617222,0.9636525223311792,0.7150183710349464,0.8148502412316754,992,1706,44202,258391,25665,185801,211466,K562_WGBS.Megalodon,ONT.hg38.cpgIslandExt.bed
25,K562,Megalodon,Exons,0.9577520252025202,0.8570285115226108,0.9503453670480486,0.9168707539468404,0.9716794803505184,0.8988863115343398,0.9783480543149642,0.9355895350643116,0.9651011990317854,0.9105484161866186,0.9385292556932904,1047,1726,73719,210697,49299,149225,198524,K562_WGBS.Megalodon,ONT.hg38.exonFeature.bed
27,K562,Megalodon,Intergenic,0.9595414308159579,0.5426017384964765,0.9440342866090752,0.7143792161551283,0.9782287520962036,0.5812434320770258,0.9956115705053126,0.9266260668764574,0.9614425063416929,0.717408061462107,0.7354465670496653,4300,5256,70418,738533,30607,525245,555852,K562_WGBS.Megalodon,ONT.hg38.intergenic.bed
28,K562,Megalodon,Introns,0.9585286994285168,0.8518383680350231,0.9550401697433956,0.9157402469540962,0.9724957819724056,0.8852616816702058,0.9835492377887378,0.9483923295289959,0.9616880099577948,0.9031973911862882,0.92363531657915,4151,5387,277379,812242,180426,587731,768157,K562_WGBS.Megalodon,ONT.hg38.intronFeature.bed
33,K562,Megalodon,Promoters,0.9625150969319474,0.7572359609409371,0.950285780402303,0.8628774885477952,0.9782901611395258,0.8018763240189649,0.99021654419951,0.933923913809714,0.9666476469948918,0.8813248946785861,0.9158135077816859,633,1292,49565,287424,29630,206501,236131,K562_WGBS.Megalodon,ONT.hg38.promoterFeature500.bed
36,K562,Megalodon,Discordant,0.9343065693430656,0.9427574189117698,0.9317367415193504,0.95,0.904255319148936,0.9606741573033708,0.8854166666666666,0.9395604395604396,0.9239130434782608,0.0,0.0,0,0,178,96,125,68,193,K562_WGBS.Megalodon,K562_WGBS.hg38_nonsingletons.discordant.bed
37,K562,Megalodon,Concordant,0.9646139814283357,0.6995233331269959,0.9620110585855968,0.8261919014424469,0.9803017868671284,0.7257769032433166,0.9959180043576858,0.9588543767648244,0.9651677404063692,0.0,0.8989634362495832,0,439,29476,224890,15810,166083,181893,K562_WGBS.Megalodon,K562_WGBS.hg38_nonsingletons.concordant.bed
38,K562,DeepMod,Genome-wide,0.7667359914721991,0.1715670426592961,0.5198673509051229,0.17648218633199605,0.8641244004656249,0.21060941384284346,0.8416230126076352,0.1518726808192533,0.8878620209909927,0.05056233761141013,0.055518189168922406,11308,14948,293249,2177728,268441,1324977,1593418,K562_WGBS.DeepMod,x.x.Genome-wide
39,K562,DeepMod,Singletons,0.802147093791427,0.14489601471565822,0.5179262134656702,0.1486158767221455,0.8880675752487807,0.1852607790240901,0.8655585394272426,0.12407385395617893,0.9117785729751614,0.0411225776760817,0.062252921077377975,8089,10333,169032,1644396,166353,999179,1165532,K562_WGBS.DeepMod,x.x.Singletons
40,K562,DeepMod,Non-singletons,0.6690771334151523,0.23668750046673545,0.5055151125308753,0.2186505799131028,0.7900865129344941,0.2451033272418429,0.7678237945594864,0.19735144840639648,0.8136787766553542,0.024240765148903352,0.020564467396730776,3219,4615,124217,533332,102088,325798,427886,K562_WGBS.DeepMod,x.x.Non-singletons
41,K562,DeepMod,CpG Island,0.7236234479901549,0.12090249537685407,0.5048329342918917,0.158426862072164,0.8346630026350412,0.12472980078284746,0.8814468700926809,0.2170708149051904,0.7925950536785931,-0.050836766927186465,-0.04141067795737227,1073,1921,68468,259816,25665,185801,211466,K562_WGBS.DeepMod,ONT.hg38.cpgIslandExt.bed
